County,AwardAmount
Adams,4048750
Alamosa,3407000
Arapahoe,2200000
Archuleta,4757716
Baca,270000
Bent,850000
Boulder,1150000
Broomfield,2000000
Chaffee,4466815
Cheyenne,41643
Clear Creek,2408757
Costilla,544777
Crowley,612500
Custer,618750
Delta,1974472
Denver,200000
Douglas,12500
Eagle,3622260
El Paso,1801000
Elbert,1393484
Fremont,434910
Garfield,2467500
Gilpin,975000
Grand,9215928
Gunnison,4931409
Hinsdale,1740000
Huerfano,477172
Jefferson,5019460
Kit Carson,2000000
La Plata,5811718
Lake,2275778
Larimer,4062500
Las Animas,3514000
Lincoln,2023625
Mesa,7578477
Mineral,898672
Moffat,2301213
Montezuma,274150
Montrose,3260800
Morgan,293037
Otero,160525
Ouray,2481592
Park,25000
Phillips,118664
Pitkin,2383324
Prowers,1435500
Pueblo,4200000
Rio Blanco,2336000
Rio Grande,790275
Routt,19090764
Saguache,2000000
San Juan,79281
San Miguel,1035745
Summit,10108904
Teller,3553608
Washington,2391456
Weld,8931498
Yuma,2000000
